Rank,Team,S,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
135,Wisconsin (Big Ten),97,"1,199",522,"3,382",0.2
136,South Alabama (Sun Belt),119,"1,426",596,"4,146",0.2
137,Sacramento St. (Big Sky),130,"1,526",616,"4,524",0.201
138,Kansas City (WAC),107,"1,328",566,"3,783",0.201
139,Washington (Pac-12),114,"1,432",637,"3,944",0.202
140,UNC Greensboro (SoCon),97,"1,232",535,"3,457",0.202
141,George Washington (Atlantic 10),100,"1,247",549,"3,456",0.202
142,UNCW (CAA),117,"1,437",627,"4,007",0.202
143,St. Francis Brooklyn (NEC),119,"1,554",649,"4,476",0.202
144,Southeastern La. (Southland),118,"1,449",625,"4,074",0.202
145,Purdue Fort Wayne (Summit League),124,"1,631",700,"4,603",0.202
146,Saint Mary's (CA) (WCC),106,"1,366",623,"3,672",0.202
147,UTRGV (WAC),117,"1,395",603,"3,913",0.202
148,UMES (MEAC),127,"1,411",629,"3,863",0.202
149,IUPUI (Horizon),115,"1,412",598,"4,014",0.203
150,Memphis (AAC),110,"1,287",536,"3,699",0.203
151,Georgetown (Big East),122,"1,413",617,"3,918",0.203
152,Loyola Maryland (Patriot),122,"1,474",564,"4,479",0.203
153,Jacksonville St. (OVC),106,"1,384",613,"3,790",0.203
154,Evansville (MVC),117,"1,513",595,"4,510",0.204
155,Lehigh (Patriot),109,"1,403",611,"3,887",0.204
156,Iowa St. (Big 12),104,"1,268",521,"3,661",0.204
157,Portland St. (Big Sky),111,"1,486",623,"4,224",0.204
158,La Salle (Atlantic 10),105,"1,228",475,"3,674",0.205
159,Bucknell (Patriot),102,"1,309",539,"3,755",0.205
160,Michigan (Big Ten),112,"1,293",552,"3,605",0.206
161,Virginia (ACC),107,"1,328",586,"3,584",0.207
162,Indiana St. (MVC),103,"1,389",550,"4,051",0.207
163,Florida A&M (MEAC),106,"1,314",579,"3,547",0.207
164,New Orleans (Southland),111,"1,326",543,"3,771",0.208
165,Iona (MAAC),101,"1,266",509,"3,645",0.208
166,Houston (AAC),137,"1,811",765,"5,019",0.208
167,Georgia Tech (ACC),106,"1,232",509,"3,466",0.209
168,Charleston So. (Big South),103,"1,297",582,"3,424",0.209
169,Ohio St. (Big Ten),114,"1,412",575,"4,007",0.209
170,Kent St. (MAC),113,"1,433",546,"4,245",0.209
171,The Citadel (SoCon),111,"1,302",538,"3,655",0.209
172,UT Martin (OVC),118,"1,503",642,"4,114",0.209
173,North Texas (C-USA),109,"1,430",564,"4,135",0.209
174,Navy (Patriot),111,"1,333",551,"3,731",0.21
175,California (Pac-12),113,"1,447",606,"4,012",0.21
176,South Carolina (SEC),106,"1,329",585,"3,546",0.21
177,Fla. Atlantic (C-USA),100,"1,133",458,"3,216",0.21
178,East Carolina (AAC),113,"1,449",594,"4,068",0.21
179,Southern Ill. (MVC),134,"1,757",682,"5,113",0.21
180,Providence (Big East),111,"1,368",566,"3,813",0.21
181,Indiana (Big Ten),126,"1,588",694,"4,249",0.21
182,Drake (MVC),125,"1,782",746,"4,922",0.21
183,La.-Monroe (Sun Belt),112,"1,462",601,"4,090",0.211
184,Pepperdine (WCC),114,"1,366",556,"3,846",0.211
185,New Mexico (Mountain West),115,"1,491",647,"4,006",0.211
186,UAB (C-USA),98,"1,248",525,"3,425",0.211
187,Ole Miss (SEC),117,"1,595",668,"4,390",0.211
188,Illinois (Big Ten),113,"1,367",563,"3,806",0.211
189,Hofstra (CAA),111,"1,298",532,"3,626",0.211
190,Col. of Charleston (CAA),102,"1,342",559,"3,706",0.211
191,Maryland (Big Ten),127,"1,603",719,"4,182",0.211
192,Ball St. (MAC),123,"1,626",636,"4,683",0.211
193,Cleveland St. (Horizon),108,"1,461",577,"4,175",0.212
194,Cal St. Fullerton (Big West),100,"1,399",554,"3,983",0.212
195,Mississippi St. (SEC),114,"1,541",656,"4,167",0.212
196,Toledo (MAC),108,"1,401",573,"3,892",0.213
197,Northeastern (CAA),108,"1,299",525,"3,638",0.213
198,Auburn (SEC),103,"1,352",567,"3,688",0.213
199,Delaware (CAA),104,"1,233",511,"3,391",0.213
200,Grambling (SWAC),109,"1,357",538,"3,838",0.213
201,Lipscomb (ASUN),105,"1,258",501,"3,545",0.214
202,Idaho St. (Big Sky),115,"1,684",692,"4,645",0.214
203,UTEP (C-USA),106,"1,223",517,"3,303",0.214
204,Ga. Southern (Sun Belt),101,"1,344",552,"3,704",0.214
205,Northwestern (Big Ten),118,"1,446",609,"3,913",0.214
206,DePaul (Big East),121,"1,494",600,"4,179",0.214
207,Ohio (MAC),119,"1,575",631,"4,410",0.214
208,Hartford (America East),109,"1,314",534,"3,643",0.214
209,San Francisco (WCC),108,"1,415",563,"3,978",0.214
210,USC Upstate (Big South),101,"1,336",572,"3,564",0.214
211,Arizona St. (Pac-12),124,"1,604",643,"4,482",0.214
212,Elon (CAA),129,"1,599",662,"4,367",0.215
213,Temple (AAC),92,"1,230",498,"3,411",0.215
214,Prairie View (SWAC),136,"1,720",642,"5,023",0.215
215,Southern California (Pac-12),126,"1,629",695,"4,352",0.215
216,Dartmouth (Ivy League),89,"1,187",489,"3,250",0.215
217,Eastern Mich. (MAC),106,"1,428",549,"4,088",0.215
218,Texas Southern (SWAC),94,"1,112",451,"3,066",0.216
219,Pacific (WCC),120,"1,351",501,"3,939",0.216
220,Seattle U (WAC),120,"1,475",610,"4,008",0.216
221,Tennessee (SEC),108,"1,334",536,"3,689",0.216
222,Central Ark. (Southland),124,"1,514",599,"4,210",0.217
223,UNLV (Mountain West),121,"1,410",569,"3,867",0.217
224,Bethune-Cookman (MEAC),118,"1,641",674,"4,445",0.218
225,Middle Tenn. (C-USA),117,"1,443",580,"3,960",0.218
226,Western Mich. (MAC),112,"1,396",538,"3,932",0.218
227,Missouri (SEC),104,"1,201",499,"3,210",0.219
228,Yale (Ivy League),83,"1,089",446,"2,940",0.219
229,Texas Tech (Big 12),116,"1,529",630,"4,110",0.219
230,North Carolina (ACC),107,"1,389",580,"3,698",0.219
231,Rhode Island (Atlantic 10),95,"1,212",447,"3,496",0.219
232,Manhattan (MAAC),115,"1,480",603,"4,001",0.219
233,Oregon (Pac-12),113,"1,450",579,"3,971",0.219
234,Missouri St. (MVC),125,"1,493",589,"4,121",0.219
235,Siena (MAAC),111,"1,388",552,"3,811",0.219
236,North Dakota St. (Summit League),112,"1,445",571,"3,983",0.219
237,Western Ill. (Summit League),107,"1,349",567,"3,562",0.22
238,Arizona (Pac-12),117,"1,514",608,"4,124",0.22
239,Penn (Ivy League),82,989,400,"2,680",0.22
240,Duquesne (Atlantic 10),94,"1,265",491,"3,515",0.22
