Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
152,Green Bay (Horizon),114,21-9,"1,530",602,"4,428",0.21
153,Virginia (ACC),107,13-18,"1,332",577,"3,603",0.21
154,Marist (MAAC),115,15-15,"1,459",621,"4,022",0.208
155,Notre Dame (ACC),112,19-9,"1,461",604,"4,148",0.207
156,Montana St. (Big Sky),112,15-14,"1,423",572,"4,120",0.207
157,Lehigh (Patriot),109,14-17,"1,323",548,"3,756",0.206
158,Purdue Fort Wayne (Summit League),124,18-14,"1,575",649,"4,502",0.206
159,Akron (MAC),103,16-12,"1,325",556,"3,742",0.206
160,West Virginia (Big 12),108,12-17,"1,387",598,"3,841",0.205
161,Niagara (MAAC),105,13-16,"1,214",444,"3,752",0.205
162,Tulane (AAC),123,21-10,"1,573",659,"4,459",0.205
163,Alabama St. (SWAC),139,17-21,"1,680",761,"4,496",0.204
164,Troy (Sun Belt),113,22-9,"1,544",728,"3,994",0.204
165,Mercer (SoCon),114,14-16,"1,433",653,"3,824",0.204
166,Memphis (AAC),110,17-11,"1,417",631,"3,858",0.204
167,Louisiana Tech (C-USA),103,13-15,"1,254",502,"3,696",0.203
168,High Point (Big South),114,20-12,"1,446",634,"3,996",0.203
169,Western Caro. (SoCon),113,17-13,"1,438",557,"4,338",0.203
170,Campbell (Big South),108,17-13,"1,361",613,"3,687",0.203
171,Jacksonville (ASUN),116,10-21,"1,408",611,"3,936",0.202
172,Charlotte (C-USA),112,16-15,"1,312",447,"4,273",0.202
173,UIW (Southland),114,7-23,"1,275",531,"3,677",0.202
174,Central Mich. (MAC),109,21-8,"1,458",616,"4,166",0.202
175,UMES (MEAC),127,12-19,"1,459",662,"3,952",0.202
176,Bucknell (Patriot),102,14-14,"1,263",537,"3,608",0.201
177,Alabama (SEC),105,12-17,"1,235",534,"3,484",0.201
178,Ole Miss (SEC),117,14-15,"1,405",583,"4,086",0.201
179,North Carolina (ACC),107,15-13,"1,363",605,"3,771",0.201
180,NC State (ACC),123,11-19,"1,530",667,"4,307",0.2
181,Miami (FL) (ACC),102,10-16,"1,236",570,"3,328",0.2
182,Oklahoma (Big 12),108,19-8,"1,389",593,"3,986",0.2
183,UTRGV (WAC),117,14-17,"1,384",601,"3,921",0.2
