Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US53965,53965,ZCTA5 53965,10398,4342,0,4342,6056,0
8600000US53968,53968,ZCTA5 53968,2329,0,0,0,2329,0
8600000US53969,53969,ZCTA5 53969,419,0,0,0,419,0
8600000US54001,54001,ZCTA5 54001,8155,2832,0,2832,5323,0
8600000US54002,54002,ZCTA5 54002,6278,3977,0,3977,2301,0
8600000US54003,54003,ZCTA5 54003,1013,0,0,0,1013,0
8600000US54004,54004,ZCTA5 54004,2317,0,0,0,2317,0
8600000US54005,54005,ZCTA5 54005,3056,0,0,0,3056,0
8600000US54006,54006,ZCTA5 54006,743,0,0,0,743,0
8600000US54007,54007,ZCTA5 54007,1188,0,0,0,1188,0
8600000US54009,54009,ZCTA5 54009,2509,705,0,705,1804,0
8600000US54010,54010,ZCTA5 54010,50,50,0,50,0,0
8600000US54011,54011,ZCTA5 54011,6819,2773,0,2773,4046,0
8600000US54013,54013,ZCTA5 54013,3475,0,0,0,3475,0
8600000US54014,54014,ZCTA5 54014,2232,0,0,0,2232,0
8600000US54015,54015,ZCTA5 54015,3586,1854,0,1854,1732,0
8600000US54016,54016,ZCTA5 54016,30108,19201,0,19201,10907,0
8600000US54017,54017,ZCTA5 54017,16743,8275,0,8275,8468,0
8600000US54020,54020,ZCTA5 54020,7260,2888,0,2888,4372,0
8600000US54021,54021,ZCTA5 54021,6622,4152,0,4152,2470,0
8600000US54022,54022,ZCTA5 54022,22358,15351,0,15351,7007,0
8600000US54023,54023,ZCTA5 54023,3833,0,0,0,3833,0
8600000US54024,54024,ZCTA5 54024,4811,0,0,0,4811,0
8600000US54025,54025,ZCTA5 54025,6864,2604,0,2604,4260,0
8600000US54026,54026,ZCTA5 54026,1809,0,0,0,1809,0
8600000US54027,54027,ZCTA5 54027,989,0,0,0,989,0
8600000US54028,54028,ZCTA5 54028,2493,0,0,0,2493,0
8600000US54082,54082,ZCTA5 54082,1696,276,276,0,1420,0
8600000US54101,54101,ZCTA5 54101,2751,0,0,0,2751,0
8600000US54102,54102,ZCTA5 54102,875,0,0,0,875,0
8600000US54103,54103,ZCTA5 54103,418,0,0,0,418,0
8600000US54104,54104,ZCTA5 54104,1051,0,0,0,1051,0
8600000US54106,54106,ZCTA5 54106,4997,0,0,0,4997,0
