Rank,Team,S,W-L,Aces,Per Set
48,Loyola Chicago (MVC),124,21-11,196,1.58
49,Delaware (CAA),104,15-14,164,1.58
50,Northeastern (CAA),108,15-14,170,1.57
51,A&M-Corpus Christi (Southland),117,19-12,184,1.57
52,Harvard (Ivy League),88,5-18,138,1.57
53,Purdue (Big Ten),111,22-7,173,1.56
54,St. John's (NY) (Big East),115,22-11,179,1.56
54,Samford (SoCon),115,24-5,179,1.56
56,Akron (MAC),103,16-12,160,1.55
57,Texas St. (Sun Belt),114,24-8,177,1.55
58,Hartford (America East),109,16-13,169,1.55
59,Illinois (Big Ten),113,16-13,175,1.55
60,BYU (WCC),106,25-4,164,1.55
60,Winthrop (Big South),106,24-4,164,1.55
62,Dayton (Atlantic 10),111,22-8,171,1.54
63,Army West Point (Patriot),116,22-10,178,1.53
64,Northern Ky. (Horizon),120,19-12,184,1.53
65,Hofstra (CAA),111,17-12,170,1.53
66,UTRGV (WAC),117,14-17,179,1.53
67,Lamar University (Southland),94,9-17,143,1.52
68,South Dakota (Summit League),104,27-2,158,1.52
69,Iona (MAAC),101,5-23,153,1.51
70,Ark.-Pine Bluff (SWAC),124,10-24,187,1.51
71,La Salle (Atlantic 10),105,15-13,158,1.50
72,Georgia (SEC),107,20-9,161,1.50
73,Bryant (NEC),113,15-17,170,1.50
74,Alcorn (SWAC),102,7-23,153,1.50
74,Texas A&M (SEC),110,21-7,165,1.50
74,Murray St. (OVC),114,19-11,171,1.50
74,Michigan (Big Ten),112,20-10,168,1.50
74,UMBC (America East),88,7-16,132,1.50
79,Villanova (Big East),112,22-9,167,1.49
80,Fla. Atlantic (C-USA),100,16-11,149,1.49
81,Chattanooga (SoCon),115,7-23,171,1.49
82,Kansas City (WAC),107,17-11,159,1.49
83,Towson (CAA),103,28-2,153,1.49
84,Mercer (SoCon),114,14-16,169,1.48
85,North Florida (ASUN),126,15-18,186,1.48
86,FGCU (ASUN),108,27-5,159,1.47
87,Lafayette (Patriot),125,13-19,184,1.47
88,Milwaukee (Horizon),119,26-6,175,1.47
89,Georgetown (Big East),122,13-19,179,1.47
90,Pacific (WCC),120,13-17,176,1.47
91,Southern Utah (Big Sky),116,15-16,170,1.47
92,Maryland (Big Ten),127,13-19,186,1.46
93,Marist (MAAC),115,15-15,168,1.46
93,Morehead St. (OVC),115,23-9,168,1.46
95,Northwestern St. (Southland),116,20-12,169,1.46
96,Canisius (MAAC),123,15-16,179,1.46
