zip,urban,rural,population,p_urban
54418,0,1080,1080,0
54420,0,1307,1307,0
54421,1828,1627,3455,0.5290882778581766
54422,0,1209,1209,0
54423,0,2343,2343,0
54424,0,1651,1651,0
54425,0,2036,2036,0
54426,0,4479,4479,0
54427,0,1099,1099,0
54428,0,1127,1127,0
54430,0,135,135,0
54433,0,1845,1845,0
54435,0,2010,2010,0
54436,0,2203,2203,0
54437,0,3077,3077,0
54440,0,2964,2964,0
54441,562,266,828,0.678743961352657
54442,0,1177,1177,0
54443,0,2137,2137,0
54446,0,3123,3123,0
54447,0,498,498,0
54448,0,4249,4249,0
54449,18859,7559,26418,0.7138693315163903
54450,0,436,436,0
54451,4046,7709,11755,0.344193960017014
54452,10282,9078,19360,0.531095041322314
54454,0,1279,1279,0
54455,9327,7702,17029,0.547712725350872
54456,0,6085,6085,0
54457,2253,6286,8539,0.26384822578756295
54458,0,124,124,0
54459,0,1148,1148,0
54460,0,2746,2746,0
54462,0,348,348,0
54463,0,684,684,0
54465,0,536,536,0
54466,0,2815,2815,0
54467,11862,1773,13635,0.8699669966996699
54469,1726,66,1792,0.9631696428571429
54470,0,2068,2068,0
54471,44,1810,1854,0.023732470334412083
54473,0,2700,2700,0
54474,4019,0,4019,1
54475,0,1482,1482,0
54476,17161,1419,18580,0.9236275565123789
54479,0,4119,4119,0
54480,0,1332,1332,0
54481,27382,1958,29340,0.9332651670074983
54482,4979,3976,8955,0.5560022333891681
54484,0,4984,4984,0
54485,0,322,322,0
54486,0,2290,2290,0
54487,2926,6668,9594,0.3049822805920367
54488,0,1262,1262,0
54489,0,1550,1550,0
54490,0,893,893,0
54491,0,1652,1652,0
54493,0,668,668,0
54494,20149,6977,27126,0.7427928924279289
54495,5041,2596,7637,0.6600759460521147
54498,0,2421,2421,0
54499,0,3223,3223,0
54501,9010,11009,20019,0.45007243119036916
54511,0,1216,1216,0
54512,0,833,833,0
54513,0,478,478,0
54514,0,1717,1717,0
54515,0,472,472,0
54517,0,112,112,0
54519,0,1231,1231,0
54520,0,4141,4141,0
54521,0,7509,7509,0
54524,0,670,670,0
54525,226,53,279,0.8100358422939068
54526,0,919,919,0
54527,0,1081,1081,0
54529,0,1133,1133,0
54530,0,868,868,0
54531,0,1454,1454,0
54534,1281,1178,2459,0.5209434729564864
54536,0,184,184,0
54537,0,561,561,0
54538,0,3137,3137,0
54539,0,1383,1383,0
54540,0,947,947,0
54541,0,1552,1552,0
54542,0,470,470,0
54545,0,736,736,0
54546,0,1266,1266,0
54547,0,1392,1392,0
54548,0,4626,4626,0
54550,398,287,685,0.581021897810219
54552,0,4416,4416,0
54554,0,1120,1120,0
54555,0,4872,4872,0
54556,0,1298,1298,0
54557,0,925,925,0
54558,0,2177,2177,0
54559,0,795,795,0
54560,0,589,589,0
54561,0,35,35,0
54562,0,1948,1948,0
54563,0,720,720,0
54564,0,387,387,0
54565,0,60,60,0
54566,0,1496,1496,0
54568,0,5198,5198,0
54601,44274,5008,49282,0.8983807475345968
54603,14305,0,14305,1
54610,0,1624,1624,0
54611,0,1307,1307,0
54612,2993,2159,5152,0.5809394409937888
54613,0,1826,1826,0
54614,0,2947,2947,0
54615,5677,5065,10742,0.5284863153975051
54616,0,2601,2601,0
54618,0,2262,2262,0
54619,0,3923,3923,0
54621,0,1147,1147,0
54622,0,2121,2121,0
54623,0,1930,1930,0
54624,0,1383,1383,0
54625,0,240,240,0
54626,0,1215,1215,0
54627,0,1819,1819,0
54628,0,1092,1092,0
54629,0,2576,2576,0
54630,0,3770,3770,0
54631,0,1844,1844,0
54632,0,1247,1247,0
54634,0,4258,4258,0
54635,0,1799,1799,0
54636,9918,3819,13737,0.7219917012448133
54637,0,187,187,0
54638,0,1487,1487,0
54639,0,2397,2397,0
54641,0,2,2,0
54642,0,2125,2125,0
54643,0,12,12,0
54644,0,1434,1434,0
54645,0,81,81,0
54646,0,3899,3899,0
54648,0,1737,1737,0
54650,21471,1906,23377,0.918466869144886
54651,0,1382,1382,0
54652,0,953,953,0
